Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Region,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit
ORD-1000,2024-05-10,2024-05-17,Second Class,CUS-1871,Customer_152,Home Office,Central,Office Supplies,Folders,Folders - Office Supplies,43.49,3,0.05,15.15
ORD-1001,2022-05-11,2022-05-17,Second Class,CUS-1021,Customer_253,Corporate,South,Technology,Mouse,Mouse - Technology,518.2,2,0.0,109.26
ORD-1002,2024-01-18,2024-01-19,Second Class,CUS-1566,Customer_244,Home Office,North,Technology,Keyboard,Keyboard - Technology,1723.44,3,0.1,294.61
ORD-1003,2024-04-11,2024-04-12,Standard Class,CUS-1241,Customer_265,Home Office,North,Office Supplies,Folders,Folders - Office Supplies,100.62,9,0.15,42.18
ORD-1004,2023-07-19,2023-07-21,Same Day,CUS-1001,Customer_390,Consumer,South,Office Supplies,Staplers,Staplers - Office Supplies,274.16,3,0.0,118.57
ORD-1005,2023-07-20,2023-07-22,Same Day,CUS-1270,Customer_456,Corporate,West,Furniture,Bookshelf,Bookshelf - Furniture,753.21,2,0.15,133.87
ORD-1006,2024-10-13,2024-10-19,Standard Class,CUS-1156,Customer_15,Home Office,West,Technology,Printer,Printer - Technology,2320.09,2,0.1,428.47
ORD-1007,2022-03-06,2022-03-07,First Class,CUS-1772,Customer_490,Home Office,East,Office Supplies,Pens,Pens - Office Supplies,216.45,3,0.1,88.49
ORD-1008,2022-08-19,2022-08-21,Standard Class,CUS-1871,Customer_214,Corporate,East,Technology,Monitor,Monitor - Technology,1222.89,3,0.0,361.88
ORD-1009,2024-08-18,2024-08-21,Second Class,CUS-1014,Customer_346,Consumer,East,Technology,Keyboard,Keyboard - Technology,2809.84,3,0.05,679.47
ORD-1010,2024-06-10,2024-06-15,Same Day,CUS-1170,Customer_29,Consumer,South,Office Supplies,Pens,Pens - Office Supplies,364.88,4,0.0,139.41
ORD-1011,2024-11-25,2024-11-30,Same Day,CUS-1795,Customer_28,Corporate,North,Office Supplies,Binders,Binders - Office Supplies,128.63,2,0.0,41.3
ORD-1012,2022-07-09,2022-07-10,Standard Class,CUS-1648,Customer_318,Corporate,North,Technology,Laptop,Laptop - Technology,1039.84,1,0.0,262.2
ORD-1013,2023-11-15,2023-11-22,Second Class,CUS-1386,Customer_113,Consumer,South,Office Supplies,Pens,Pens - Office Supplies,29.12,1,0.0,12.79
ORD-1014,2024-08-09,2024-08-10,Same Day,CUS-1637,Customer_130,Corporate,West,Office Supplies,Pens,Pens - Office Supplies,48.84,6,0.0,20.85
ORD-1015,2024-12-12,2024-12-16,Standard Class,CUS-1981,Customer_395,Home Office,North,Furniture,Cabinet,Cabinet - Furniture,1986.59,3,0.05,467.12
ORD-1016,2024-01-22,2024-01-23,Same Day,CUS-1345,Customer_451,Corporate,North,Technology,Monitor,Monitor - Technology,1037.11,1,0.0,201.25
ORD-1017,2022-05-27,2022-05-31,Same Day,CUS-1472,Customer_434,Consumer,East,Office Supplies,Staplers,Staplers - Office Supplies,657.93,7,0.0,242.26
ORD-1018,2022-05-31,2022-06-07,Same Day,CUS-1001,Customer_385,Home Office,North,Furniture,Desk,Desk - Furniture,2688.22,4,0.05,458.28
ORD-1019,2022-09-11,2022-09-15,Standard Class,CUS-1151,Customer_54,Home Office,North,Technology,Printer,Printer - Technology,451.59,1,0.1,133.89
ORD-1020,2023-09-20,2023-09-23,First Class,CUS-1877,Customer_338,Corporate,South,Technology,Monitor,Monitor - Technology,2262.31,2,0.2,374.25
ORD-1021,2024-04-01,2024-04-04,Same Day,CUS-1391,Customer_135,Consumer,South,Technology,Laptop,Laptop - Technology,617.98,1,0.0,137.99
ORD-1022,2023-02-05,2023-02-06,Second Class,CUS-1283,Customer_367,Home Office,Central,Office Supplies,Binders,Binders - Office Supplies,519.67,8,0.1,187.33
ORD-1023,2024-08-17,2024-08-18,Same Day,CUS-1157,Customer_477,Home Office,Central,Technology,Monitor,Monitor - Technology,2801.51,3,0.0,977.48
ORD-1024,2024-12-05,2024-12-10,Standard Class,CUS-1699,Customer_481,Consumer,South,Furniture,Table,Table - Furniture,1326.1,4,0.05,234.13
ORD-1025,2022-07-10,2022-07-15,Standard Class,CUS-1791,Customer_114,Corporate,North,Technology,Laptop,Laptop - Technology,2253.16,2,0.1,535.37
ORD-1026,2024-05-03,2024-05-10,Second Class,CUS-1038,Customer_477,Corporate,West,Furniture,Table,Table - Furniture,694.07,1,0.0,143.21
ORD-1027,2024-01-29,2024-01-31,Same Day,CUS-1511,Customer_494,Consumer,East,Office Supplies,Paper,Paper - Office Supplies,368.51,7,0.1,142.61
ORD-1028,2023-02-04,2023-02-10,Same Day,CUS-1189,Customer_125,Corporate,West,Office Supplies,Staplers,Staplers - Office Supplies,481.9,7,0.0,159.51
ORD-1029,2022-05-30,2022-06-01,Second Class,CUS-1052,Customer_60,Corporate,South,Furniture,Chair,Chair - Furniture,1056.4,3,0.0,188.39
ORD-1030,2024-09-30,2024-10-04,First Class,CUS-1635,Customer_106,Corporate,Central,Technology,Monitor,Monitor - Technology,2349.13,3,0.1,729.77
ORD-1031,2023-10-19,2023-10-26,Second Class,CUS-1907,Customer_129,Home Office,West,Office Supplies,Staplers,Staplers - Office Supplies,112.56,5,0.0,43.41
ORD-1032,2024-12-17,2024-12-19,Standard Class,CUS-1789,Customer_349,Consumer,East,Technology,Mouse,Mouse - Technology,1148.1,1,0.1,269.55
ORD-1033,2022-09-04,2022-09-07,Standard Class,CUS-1749,Customer_446,Corporate,Central,Furniture,Table,Table - Furniture,181.25,1,0.0,19.23
ORD-1034,2024-10-08,2024-10-13,Same Day,CUS-1757,Customer_325,Home Office,Central,Furniture,Desk,Desk - Furniture,425.27,1,0.1,41.03
ORD-1035,2024-03-12,2024-03-16,Second Class,CUS-1335,Customer_247,Home Office,West,Office Supplies,Paper,Paper - Office Supplies,56.24,1,0.1,21.42
ORD-1036,2022-09-15,2022-09-16,First Class,CUS-1834,Customer_65,Corporate,South,Office Supplies,Staplers,Staplers - Office Supplies,48.53,1,0.05,22.51
ORD-1037,2024-12-02,2024-12-06,Second Class,CUS-1089,Customer_264,Home Office,South,Technology,Printer,Printer - Technology,189.62,2,0.1,37.08
ORD-1038,2023-08-28,2023-08-30,Standard Class,CUS-1412,Customer_376,Home Office,West,Furniture,Desk,Desk - Furniture,548.15,3,0.1,95.87
ORD-1039,2023-12-30,2024-01-04,Standard Class,CUS-1547,Customer_466,Corporate,South,Technology,Laptop,Laptop - Technology,703.8,1,0.05,198.13
ORD-1040,2024-10-05,2024-10-12,First Class,CUS-1061,Customer_84,Consumer,South,Office Supplies,Folders,Folders - Office Supplies,536.77,7,0.0,257.92
ORD-1041,2023-12-30,2024-01-05,Same Day,CUS-1717,Customer_223,Consumer,North,Technology,Keyboard,Keyboard - Technology,1091.19,1,0.0,233.36
ORD-1042,2024-04-30,2024-05-02,Same Day,CUS-1143,Customer_57,Home Office,Central,Office Supplies,Folders,Folders - Office Supplies,518.42,9,0.0,253.63
ORD-1043,2024-11-28,2024-12-03,Second Class,CUS-1842,Customer_146,Home Office,West,Technology,Mouse,Mouse - Technology,342.76,3,0.1,79.95
ORD-1044,2024-01-21,2024-01-25,Standard Class,CUS-1945,Customer_283,Consumer,West,Technology,Mouse,Mouse - Technology,293.45,2,0.1,43.46
ORD-1045,2023-09-26,2023-09-28,First Class,CUS-1216,Customer_301,Corporate,Central,Technology,Printer,Printer - Technology,476.24,1,0.15,137.41
ORD-1046,2024-12-29,2025-01-02,First Class,CUS-1219,Customer_126,Corporate,Central,Office Supplies,Binders,Binders - Office Supplies,46.69,3,0.05,13.41
ORD-1047,2024-12-17,2024-12-21,Standard Class,CUS-1928,Customer_422,Home Office,East,Technology,Laptop,Laptop - Technology,1020.51,2,0.05,161.5
ORD-1048,2022-05-14,2022-05-16,Standard Class,CUS-1658,Customer_20,Home Office,Central,Technology,Printer,Printer - Technology,2226.68,2,0.15,379.67
ORD-1049,2022-02-16,2022-02-17,Second Class,CUS-1735,Customer_272,Corporate,Central,Technology,Laptop,Laptop - Technology,3259.0,3,0.0,671.98
ORD-1050,2024-08-25,2024-08-31,Same Day,CUS-1739,Customer_192,Corporate,South,Technology,Mouse,Mouse - Technology,627.61,2,0.0,139.37
ORD-1051,2023-05-17,2023-05-24,Same Day,CUS-1252,Customer_390,Consumer,East,Technology,Laptop,Laptop - Technology,837.44,1,0.0,278.19
ORD-1052,2024-06-01,2024-06-06,Same Day,CUS-1373,Customer_65,Corporate,West,Office Supplies,Pens,Pens - Office Supplies,114.8,2,0.0,43.88
ORD-1053,2022-05-26,2022-06-02,First Class,CUS-1609,Customer_105,Corporate,Central,Technology,Keyboard,Keyboard - Technology,1165.4,1,0.15,314.68
ORD-1054,2023-05-26,2023-05-27,First Class,CUS-1676,Customer_202,Consumer,East,Technology,Monitor,Monitor - Technology,1196.13,1,0.05,345.21
ORD-1055,2022-03-24,2022-03-25,Standard Class,CUS-1033,Customer_348,Home Office,East,Technology,Laptop,Laptop - Technology,288.31,1,0.15,73.86
ORD-1056,2022-04-05,2022-04-12,Second Class,CUS-1388,Customer_478,Corporate,West,Furniture,Desk,Desk - Furniture,1392.34,3,0.15,216.33
ORD-1057,2024-02-02,2024-02-03,Second Class,CUS-1805,Customer_306,Corporate,Central,Technology,Printer,Printer - Technology,884.73,3,0.0,135.28
ORD-1058,2022-04-08,2022-04-10,Second Class,CUS-1541,Customer_247,Home Office,North,Furniture,Table,Table - Furniture,1932.85,4,0.05,434.39
ORD-1059,2022-03-22,2022-03-27,Second Class,CUS-1052,Customer_450,Consumer,West,Technology,Monitor,Monitor - Technology,346.98,1,0.05,114.05
ORD-1060,2022-07-24,2022-07-30,First Class,CUS-1911,Customer_8,Home Office,North,Office Supplies,Binders,Binders - Office Supplies,438.4,9,0.05,158.29
ORD-1061,2024-06-18,2024-06-22,Standard Class,CUS-1465,Customer_92,Home Office,North,Technology,Keyboard,Keyboard - Technology,1484.45,2,0.0,466.65
ORD-1062,2023-11-13,2023-11-18,Standard Class,CUS-1812,Customer_411,Consumer,East,Furniture,Bookshelf,Bookshelf - Furniture,977.73,4,0.0,171.6
ORD-1063,2024-03-04,2024-03-05,Same Day,CUS-1252,Customer_180,Home Office,North,Office Supplies,Pens,Pens - Office Supplies,31.3,1,0.15,11.96
ORD-1064,2023-12-20,2023-12-27,Second Class,CUS-1882,Customer_7,Home Office,South,Office Supplies,Paper,Paper - Office Supplies,587.59,8,0.0,193.64
ORD-1065,2024-10-23,2024-10-30,Second Class,CUS-1484,Customer_28,Consumer,South,Office Supplies,Binders,Binders - Office Supplies,333.59,6,0.0,118.04
ORD-1066,2023-12-15,2023-12-22,Same Day,CUS-1066,Customer_233,Corporate,West,Technology,Laptop,Laptop - Technology,1074.11,1,0.05,291.65
ORD-1067,2022-04-19,2022-04-21,Same Day,CUS-1517,Customer_180,Home Office,West,Office Supplies,Staplers,Staplers - Office Supplies,368.06,8,0.0,131.31
ORD-1068,2022-11-11,2022-11-16,Standard Class,CUS-1349,Customer_331,Consumer,East,Furniture,Bookshelf,Bookshelf - Furniture,515.47,2,0.0,89.26
ORD-1069,2022-12-16,2022-12-23,First Class,CUS-1467,Customer_220,Home Office,North,Office Supplies,Pens,Pens - Office Supplies,569.69,8,0.2,218.45
ORD-1070,2022-03-16,2022-03-20,Standard Class,CUS-1299,Customer_133,Corporate,North,Office Supplies,Pens,Pens - Office Supplies,115.78,2,0.05,39.16
ORD-1071,2022-11-22,2022-11-24,Same Day,CUS-1549,Customer_293,Consumer,North,Furniture,Cabinet,Cabinet - Furniture,470.89,1,0.1,91.19
ORD-1072,2022-05-19,2022-05-26,Second Class,CUS-1897,Customer_13,Consumer,North,Technology,Keyboard,Keyboard - Technology,1144.82,2,0.05,282.54
ORD-1073,2022-11-17,2022-11-24,First Class,CUS-1816,Customer_69,Consumer,East,Technology,Laptop,Laptop - Technology,1776.94,3,0.05,371.0
ORD-1074,2022-11-14,2022-11-18,Second Class,CUS-1571,Customer_320,Consumer,North,Furniture,Bookshelf,Bookshelf - Furniture,1461.84,4,0.15,258.75
ORD-1075,2024-05-22,2024-05-27,Standard Class,CUS-1600,Customer_237,Consumer,North,Furniture,Cabinet,Cabinet - Furniture,264.98,1,0.1,56.33
